Symbol,Sector,Name,Position,Company,University,Age,Compensation,Tenure_To,Tenure_From,Work Loction,Affiliation,Gender,DOB,POB,Nationality,Bachelors_University,Bachelors Specialization,Masters_University,Masters Specialization,Performance,Parents,Father Occupation,Mother Occupation, Starting_Age,Employment History
AMZN,Consumer Discretionary,Jeffrey P. Bezos,"Founder, Chairman, Chief Executive Officer and President,",Amazon.com Inc.,Princeton University,49,1681840,2014,1996,"410 Terry Avenue NorthSeattle, Washington 98109United States","drugstore.com, inc.|Padcom, Inc.|Princeton University|37signals, LLC|A9.com, Inc.|Blue Origin, LLC|Bezos Expeditions, LLC",Male,1965,United States of America,United States of America,Princeton University,BS,NA,NA,1.017352867,Ted Jorgensen | Jacklyn Bezos | Miguel Bezos | ,,,31,Amazon.com - 2000-10 - President and CEO - mgutierrezt - Employment tenure | Amazon.com - 1996-05 - Chief Executive Officer - alexander - Employment tenure | Amazon.com - 1994 - President - 1999-06 - mgutierrezt - Employment tenure | D. E. Shaw & Co. - Senior Vice President - lisasinglem - Employment tenure | Bankers Trust - Vice President - lisasinglem - Employment tenure | Fitel - lisasinglem - Employment tenure | Kosmix - Freebase Data Team - Employment tenure | 
AEE,Utilities,Thomas R. Voss,"Chairman and Chief Executive Officer,",Ameren Corporation,"University of Missouri, Rolla",65,6038282,2014,2010,"1901 Chouteau AvenueSt. Louis, Missouri 63103United States","CILCORP Inc.|Union Electric Company|Ameren Illinois Company|Illinois Power Generating Company|AmerenIP|Central Illinois Light Company|University of Missouri, Rolla|St. Louis Regional Chamber & Growth Association|College of Engineering, Pennstate",Male,1949,United States of America,United States of America,University of Missouri,BS,University of Pittsburgh,MBA,-0.484161355,,,,61,NA
AEP,Utilities,Nicholas K. Akins,"Chairman, Chief Executive Officer, President, Member of Executive Committee and Member of Policy Committee,","American Electric Power Co., Inc.",Louisiana Tech University,53,10612588,2014,2011,"1 Riverside PlazaColumbus, Ohio 43215United States","Fifth Third Bancorp|Fifth Third Bank|Electric Power Research Institute, Inc.|Public Service Company of Oklahoma|Ohio Valley Electric Corporation|Ohio Power Company|Kentucky Power Company|Appalachian Power Company|AEP Texas Central Company|Columbus Southern Power Company|Indiana Michigan Power Company|Southwestern Electric Power Company|AEP Texas North Company|AEP Pro Serv, Inc.|American Electric Power Service Corporation|AEP Generating Company|Louisiana State University|University Of Idaho|Indiana-Kentucky Electric Corporation|Louisiana Tech University|AEP Transmission Holding Company, LLC",Male,1961,United States of America,United States of America,Louisiana Tech University,BS,Louisiana Tech University,MS,-0.092001531,,,,50,American Electric Power - Executive Vice President - ts_bot - Employment tenure | 
AXP,Financials,Kenneth I. Chenault,"Chairman, Chief Executive Officer, Chairman of American Express Travel Related Services Company Inc and Chief Executive Officer of American Express Travel Related Services Company Inc,",American Express Company,,62,21837420,2014,2001,"200 Vesey StreetNew York, New York 10285United States","The Procter & Gamble Company|International Business Machines Corporation|Bowdoin College|Phoenix House Foundation, Inc.|The Partnership for New York City, Inc.|National Academy Foundation|Harvard Law School|The Business Roundtable|National Museum of African American History and Culture|National September 11 Memorial & Museum at the World Trade Center Foundation, Inc.|Bloomberg Philanthropies",Male,1952,United States of America,United States of America,Bowdoin College,BA,Harvard University,JD,0.213120889,,,,49,NA
AIG,Financials,Robert Herman Benmosche,"Chief Executive Officer, President and Director,","American International Group, Inc.",Alfred University,69,14834562,2014,2009,"175 Water StreetNew York, New York 10038United States","MetLife, Inc.|Credit Suisse (USA), Inc.|Credit Suisse Group AG|Credit Suisse AG|MetLife Investors Insurance Company|American Life Insurance Company|AXA Versicherungen AG|International Lease Finance Corp.|AIG Financial Products Corporation|American General Life Insurance Company, Inc.|Alfred University|The Conference Board, Inc.|AXA Leben AG|Metropolitan Life Insurance Company|American General Life Companies, LLC|Credit Suisse (Australia) Limited|AIG|AIA Group Limited",Male,1945,United States of America,United States of America,Alfred University,BA,NA,NA,-0.060098353,,,,64,NA
AMT,Financials,James D. Taiclet Jr.,"Chairman, Chief Executive Officer and President ,",American Tower Corporation,U.S. Air Force Academy,52,12221026,2014,2003,"116 Huntington AvenueBoston, Massachusetts 02116United States","Grimes Aerospace Company|MariTEL, Inc.|FiberTower Corporation|Princeton University|U.S. Air Force Academy",Male,1962,United States of America,United States of America,Princeton University,BA,NA,NA,0.556792365,,,,41,American Tower Corporation - Chairman - ts_bot - Employment tenure | American Tower Corporation - President - ts_bot - Employment tenure | American Tower Corporation - Chief Executive Officer - ts_bot - Employment tenure | 
AMP,Financials,James M. Cracchiolo,"Chairman, Chief Executive Officer and Chairman of Executive Committee,","Ameriprise Financial, Inc.",New York University,54,19752269,2014,2005,"1099 Ameriprise Financial CenterMinneapolis, Minnesota 55474United States",American Express Company|Tech Data Corp.|New York University - Leonard N. Stern School of Business|New York University|Ameriprise National Trust Bank,Male,1960,United States of America,United States of America,New York University,BS,New York University,MBA,-1.69132925,,,,45,Ameriprise Financial - Chief Executive Officer - ts_bot - Employment tenure | Ameriprise Financial - Chairman - ts_bot - Employment tenure | 
ABC,Health Care,Steven H. Collis,"Chief Executive Officer, President, Director and Chairman of Executive Committee,",AmerisourceBergen Corporation,University of the Witwatersrand,51,12000206,2014,2011,"1300 Morris DriveChesterbrook, Pennsylvania 19087United States","Bergen Brunswig Corp.|Thoratec Corp.|AmerisourceBergen Drug Corporation|University of the Witwatersrand|Healthcare Distribution Management Association|AmerisourceBergen Specialty Group, Inc.",Male,1963,United States of America,United States of America,University of the Witwatersrand,BCom,NA,NA,-0.62523292,,,,48,"AmerisourceBergen - Executive Vice President - azierath - Employment tenure | AmeriSource Health Corporation - Executive Vice President - azierath - Employment tenure | Bergen Brunswig Corporation - President - azierath - Employment tenure | AmerisourceBergen Specialty Group - President - azierath - Employment tenure | Bergen Brunswig Corporation - 1994 - General Manager, ASD Specialty Healthcare - 1999 - azierath - Employment tenure | Sterling Medical - General Manager - azierath - Employment tenure | Bergen Brunswig Corporation - 1999 - President, ASD Specialty Healthcare - 2001 - azierath - Employment tenure | "
AME,Information Technology,Frank S. Hermance,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",Ametek Inc.,Rochester Institute of Technology,64,5945414,2014,1999,"1100 Cassatt RoadBerwyn, Pennsylvania 19312United States","CTB, Inc.|HCC Industries, Inc.|IDEX Corporation|UGI Corporation|Atlas Material Testing Technology LLC|UGI Utilities Inc.|Rochester Institute of Technology|Manufacturers Alliance for Productivity and Innovation, Inc.|PennEngineering Motion Technologies|Southern Aero Partners, Inc.",Male,1950,United States of America,United States of America,Rochester Institute of Technology,BS,Rochester Institute of Technology,MS,0.166970985,,,,49,"AMETEK, Inc. - Chairman - ts_bot - Employment tenure | AMETEK, Inc. - Chief Executive Officer - ts_bot - Employment tenure | "
AMGN,Health Care,Robert A. Bradway,"Chairman, Chief Executive Officer, President, Chairman of Executive Committee and Member of Equity Award Committee,",Amgen Inc.,Harvard University,50,13649807,2014,2012,"One Amgen Center DriveThousand Oaks, California 91320United States","Micromet, Inc.|Harvard University|Norfolk Southern Corporation|Amherst College",Male,1964,United States of America,United States of America,Amherst College,BA,Harvard University,MBA,0.202898551,,,,48,Amgen - Executive Vice President - ts_bot - Employment tenure | Amgen - Chief Financial Officer - ts_bot - Employment tenure | 
APH,Industrials,R. Adam Norwitt,"Chief Executive Officer, President and Director,",Amphenol Corporation,INSEAD,43,6347121,2014,2009,"358 Hall AvenueWallingford, Connecticut 06492United States",INSEAD|University of Michigan|Georgetown University|Konfektion E Elektronik GmbH,Male,1971,United States of America,United States of America,Georgetown University ,BS,INSEAD,MBA,0.222590371,,,,38,NA
APC,Energy,R. A. Walker,"Chairman, Chief Executive Officer, President and Chairman of Executive Committee,",Anadarko Petroleum Corporation,University of Tulsa,56,16919429,2014,2012,"1201 Lake Robbins DriveThe Woodlands, Texas 77380United States","Enex Resources Corp.|Global Natural Resources|CenterPoint Energy, Inc.|Maxus Energy Corporation|Temple-Inland Inc.|TEPPCO Partners, L.P.|BOK Financial Corporation|3TEC Energy Corporation|Seagull Energy Corp.|University of Tulsa|TIN Inc.|Centerpoint Energy Resources Corp.|Texas Eastern Products Pipeline Company LLC|Anadarko E&P Company LP|Western Gas Partners LP|Western Gas Holdings, LLC|Western Gas Equity Partners, LP",Male,1958,United States of America,United States of America,University of Tulsa,BS,University of Tulsa,MBA,-0.666666667,,,,54,NA
ADI,Information Technology,Vincent T. Roche,"Chief Executive Officer, President and Director,","Analog Devices, Inc.",Limerick College Of Technology,53,2763314,2014,2013,"One Technology WayNorwood, Massachusetts 02062United States",Limerick College Of Technology,Male,1961,Ireland,United States of America | Ireland ,Limerick College Of Technology,BS,NA,NA,0,,,,52,NA
AON,Financials,Gregory C. Case,"Chief Executive Officer, President, Executive Director and Member of Executive Committee,",Aon plc,Harvard University,50,12723070,2014,2005,"8 Devonshire SquareLondon, Greater London EC2M 4PLUnited Kingdom","Aon Hewitt LLC|Harvard University|Aon Consulting, Inc.|Discover Bank|Discover Financial Services|Kansas State University|Aon Benfield Group Limited|Aon Consulting Limited|Aon New Zealand Limited|Aon Corporation",Male,1964,United States of America,United States of America,Kansas State University,BS,Harvard University,MBA,0.11694237,,,,41,"Aon - President - ts_bot - Employment tenure | Aon - Chief Executive Officer - ts_bot - Employment tenure | McKinsey & Company - General Manager, Financial Services Practice - libbys - Employment tenure | McKinsey & Company - General Manager, Global Insurance Practice - libbys - Employment tenure | Federal Reserve Bank of Kansas City - libbys - Employment tenure | Piper, Jaffrey and Hopwood - libbys - Employment tenure | "
APA,Energy,G. Steven Farris,"Chairman, Chief Executive Officer, President and Member of Executive Committee,",Apache Corp.,Oklahoma State University,65,11228245,2014,2002,"One Post Oak CentralHouston, Texas 77056United States",Apache Offshore Investment Partnership|Oklahoma State University|Apache Canada Ltd.|America's Natural Gas Alliance,Male,1949,United States of America,United States of America,Oklahoma State University,BS,NA,NA,-0.808051373,,,,53,Apache Corporation - President - ts_bot - Employment tenure | 
AIV,Financials,Terry   Considine J.D.,"Director, Chairman of Aimco Properties, L.P. and Chief Executive Officer of Aimco Properties, L.P,","AIMCO-GP, Inc.",Harvard University,65,,2014,1998,"4582 South Ulster Street ParkwayDenver, Colorado 80237United States","Harvard University|American Land Lease Inc.|Apartment Investment and Management Company|Commercial Assets, Inc.|Winthrop Growth Investors I LP|Secured Income LP|AIMCO Properties LP|Lynde and Harry Bradley Foundation Inc., The|Intrepid Potash, Inc.|Considine Investment Co.",Male,1949,United States of America,United States of America,Harvard University,BA,Harvard University,JD,-0.998396553,,,,49,NA
AAPL,Information Technology,Timothy D. Cook,"Chief Executive Officer and Director,",Apple Inc.,Duke University,52,4252727,2014,2011,"1 Infinite LoopCupertino, California 95014United States","Nike, Inc.|Duke University|Auburn University",Male,1962,United States of America,United States of America,Auburn University,BS,Duke University,MBA,0.247677101,,,,49,Apple Inc. - 2011-08-24 - Chief Executive Officer - narphorium - Employment tenure | Apple Inc. - 2011-01 - Acting CEO - jon - Employment tenure | Intelligent Electronics - COO of Reseller Division - azierath - Employment tenure | IBM - Director of North American Fulfillment - azierath - Employment tenure | Compaq - Vice President of Corporate Materials - azierath - Employment tenure | Apple Inc. - 2007-01 - Chief Operating Officer - jon - Employment tenure | Apple Inc. - 1998-03 - jon - Employment tenure | 
AMAT,Information Technology,Gary E. Dickerson,"Chief Executive Officer, President and Director,","Applied Materials, Inc.","University of Missouri, Kansas City",56,10319469,2014,2013,"3050 Bowers AvenueSanta Clara, California 95052United States","KLA-Tencor Corporation|Varian Semiconductor Equipment Associates Inc.|University of Missouri, Kansas City|University of Missouri, Rolla|Direct Grid Technologies, LLC",Male,1958,United States of America,United States of America,University of Missouri,BS,University of Missouri,MBA,0,,,,55,NA
ADM,Consumer Staples,Patricia A. Woertz,"Executive Chairman, Chief Executive Officer and Chairman of Executive Committee,",Archer Daniels Midland Company,Pennsylvania State University,60,6881761,2014,2006,"4666 Faries ParkwayDecatur, Illinois 62526United States","The Procter & Gamble Company|Chevron Corporation|Columbia Business School|Columbia University|Pennsylvania State University|ADM Alliance Nutrition, Inc.|Royal Dutch Shell plc",Female,1954,United States of America,United States of America,Columbia University,BCom,Columbia University,MBA,0.254056059,,,,52,"Archer Daniels Midland - 2006-05-01 - President and CEO - ts_bot - Employment tenure | Chevron Corporation - Executive Vice President of Downstream Operations - 2006 - anne8 - Employment tenure | Chevron Corporation - 2001 - EVP Refining, Marketing, Lubricant, and Supply and Trading Operations - nanette - Employment tenure | Chevron Products Co. - 1998 - President - 2001 - anne8 - Employment tenure | Chevron Corporation - 1996 - President, Chevron International - 1998 - anne8 - Employment tenure | Chevron Canada Ltd. - President - nanette - Employment tenure | Gulf Oil - 1977 - 1987 - anne8 - Employment tenure | Ernst & Young - 1974 - 1977 - anne8 - Employment tenure | "
